Epoch: [1/100], Step: [101/313], Validation Acc: 77.46
Epoch: [1/100], Step: [101/313], Train Acc: 64.68
Epoch: [1/100], Step: [201/313], Validation Acc: 84.6
Epoch: [1/100], Step: [201/313], Train Acc: 81.14
Epoch: [1/100], Step: [301/313], Validation Acc: 85.38
Epoch: [1/100], Step: [301/313], Train Acc: 84.16
Epoch: [2/100], Step: [101/313], Validation Acc: 86.0
Epoch: [2/100], Step: [101/313], Train Acc: 94.03
Epoch: [2/100], Step: [201/313], Validation Acc: 86.24
Epoch: [2/100], Step: [201/313], Train Acc: 94.77
Epoch: [2/100], Step: [301/313], Validation Acc: 86.32
Epoch: [2/100], Step: [301/313], Train Acc: 94.39
Epoch: [3/100], Step: [101/313], Validation Acc: 86.4
Epoch: [3/100], Step: [101/313], Train Acc: 98.82
Epoch: [3/100], Step: [201/313], Validation Acc: 85.94
Epoch: [3/100], Step: [201/313], Train Acc: 99.50
Epoch: [3/100], Step: [301/313], Validation Acc: 85.86
Epoch: [3/100], Step: [301/313], Train Acc: 99.08
Epoch: [4/100], Step: [101/313], Validation Acc: 85.62
Epoch: [4/100], Step: [101/313], Train Acc: 99.93
Epoch: [4/100], Step: [201/313], Validation Acc: 85.74
Epoch: [4/100], Step: [201/313], Train Acc: 99.94
Epoch: [4/100], Step: [301/313], Validation Acc: 85.76
Epoch: [4/100], Step: [301/313], Train Acc: 99.95
Epoch: [5/100], Step: [101/313], Validation Acc: 85.5
Epoch: [5/100], Step: [101/313], Train Acc: 100.00
Epoch: [5/100], Step: [201/313], Validation Acc: 85.62
Epoch: [5/100], Step: [201/313], Train Acc: 99.98
Epoch: [5/100], Step: [301/313], Validation Acc: 85.46
Epoch: [5/100], Step: [301/313], Train Acc: 99.98
Epoch: [6/100], Step: [101/313], Validation Acc: 85.6
Epoch: [6/100], Step: [101/313], Train Acc: 100.00
Epoch: [6/100], Step: [201/313], Validation Acc: 85.42
Epoch: [6/100], Step: [201/313], Train Acc: 100.00
Epoch: [6/100], Step: [301/313], Validation Acc: 85.28
Epoch: [6/100], Step: [301/313], Train Acc: 100.00
Epoch: [7/100], Step: [101/313], Validation Acc: 85.26
Epoch: [7/100], Step: [101/313], Train Acc: 100.00
Epoch: [7/100], Step: [201/313], Validation Acc: 85.2
Epoch: [7/100], Step: [201/313], Train Acc: 100.00
Epoch: [7/100], Step: [301/313], Validation Acc: 85.28
Epoch: [7/100], Step: [301/313], Train Acc: 100.00
Epoch: [8/100], Step: [101/313], Validation Acc: 85.34
Epoch: [8/100], Step: [101/313], Train Acc: 100.00
Epoch: [8/100], Step: [201/313], Validation Acc: 85.3
Epoch: [8/100], Step: [201/313], Train Acc: 100.00
Epoch: [8/100], Step: [301/313], Validation Acc: 85.32
Epoch: [8/100], Step: [301/313], Train Acc: 100.00
Epoch: [9/100], Step: [101/313], Validation Acc: 85.36
Epoch: [9/100], Step: [101/313], Train Acc: 100.00
Epoch: [9/100], Step: [201/313], Validation Acc: 85.26
