Epoch: [19/100], Step: [101/313], Validation Acc: 79.84
Epoch: [19/100], Step: [101/313], Train Acc: 100.00
Epoch: [19/100], Step: [201/313], Validation Acc: 80.0
Epoch: [19/100], Step: [201/313], Train Acc: 100.00
Epoch: [19/100], Step: [301/313], Validation Acc: 79.78
Epoch: [19/100], Step: [301/313], Train Acc: 100.00
Epoch: [20/100], Step: [101/313], Validation Acc: 79.88
Epoch: [20/100], Step: [101/313], Train Acc: 100.00
Epoch: [20/100], Step: [201/313], Validation Acc: 79.6
Epoch: [20/100], Step: [201/313], Train Acc: 100.00
Epoch: [20/100], Step: [301/313], Validation Acc: 79.82
Epoch: [20/100], Step: [301/313], Train Acc: 100.00
Epoch: [21/100], Step: [101/313], Validation Acc: 79.74
Epoch: [21/100], Step: [101/313], Train Acc: 100.00
Epoch: [21/100], Step: [201/313], Validation Acc: 79.0
Epoch: [21/100], Step: [201/313], Train Acc: 100.00
Epoch: [21/100], Step: [301/313], Validation Acc: 79.72
Epoch: [21/100], Step: [301/313], Train Acc: 100.00
Epoch: [22/100], Step: [101/313], Validation Acc: 79.68
Epoch: [22/100], Step: [101/313], Train Acc: 100.00
Epoch: [22/100], Step: [201/313], Validation Acc: 79.48
Epoch: [22/100], Step: [201/313], Train Acc: 100.00
Epoch: [22/100], Step: [301/313], Validation Acc: 79.46
Epoch: [22/100], Step: [301/313], Train Acc: 100.00
Epoch: [23/100], Step: [101/313], Validation Acc: 78.26
Epoch: [23/100], Step: [101/313], Train Acc: 100.00
Epoch: [23/100], Step: [201/313], Validation Acc: 79.48
Epoch: [23/100], Step: [201/313], Train Acc: 100.00
Epoch: [23/100], Step: [301/313], Validation Acc: 79.46
Epoch: [23/100], Step: [301/313], Train Acc: 100.00
Epoch: [24/100], Step: [101/313], Validation Acc: 79.52
Epoch: [24/100], Step: [101/313], Train Acc: 100.00
Epoch: [24/100], Step: [201/313], Validation Acc: 79.44
Epoch: [24/100], Step: [201/313], Train Acc: 100.00
Epoch: [24/100], Step: [301/313], Validation Acc: 79.4
Epoch: [24/100], Step: [301/313], Train Acc: 100.00
Epoch: [25/100], Step: [101/313], Validation Acc: 79.44
Epoch: [25/100], Step: [101/313], Train Acc: 100.00
Epoch: [25/100], Step: [201/313], Validation Acc: 79.62
Epoch: [25/100], Step: [201/313], Train Acc: 100.00
Epoch: [25/100], Step: [301/313], Validation Acc: 79.38
Epoch: [25/100], Step: [301/313], Train Acc: 100.00
Epoch: [26/100], Step: [101/313], Validation Acc: 79.48
Epoch: [26/100], Step: [101/313], Train Acc: 100.00
Epoch: [26/100], Step: [201/313], Validation Acc: 79.4
Epoch: [26/100], Step: [201/313], Train Acc: 100.00
Epoch: [26/100], Step: [301/313], Validation Acc: 79.42
Epoch: [26/100], Step: [301/313], Train Acc: 100.00
Epoch: [27/100], Step: [101/313], Validation Acc: 79.38
Epoch: [27/100], Step: [101/313], Train Acc: 100.00
Epoch: [27/100], Step: [201/313], Validation Acc: 79.38
Epoch: [27/100], Step: [201/313], Train Acc: 100.00
Epoch: [27/100], Step: [301/313], Validation Acc: 79.54
Epoch: [27/100], Step: [301/313], Train Acc: 100.00
Epoch: [28/100], Step: [101/313], Validation Acc: 78.5
Epoch: [28/100], Step: [101/313], Train Acc: 98.62
Epoch: [28/100], Step: [201/313], Validation Acc: 78.86
Epoch: [28/100], Step: [201/313], Train Acc: 99.80
Epoch: [28/100], Step: [301/313], Validation Acc: 78.62
Epoch: [28/100], Step: [301/313], Train Acc: 99.83
Epoch: [29/100], Step: [101/313], Validation Acc: 78.64
Epoch: [29/100], Step: [101/313], Train Acc: 99.97
Epoch: [29/100], Step: [201/313], Validation Acc: 78.6
Epoch: [29/100], Step: [201/313], Train Acc: 99.97
Epoch: [29/100], Step: [301/313], Validation Acc: 78.46
Epoch: [29/100], Step: [301/313], Train Acc: 99.91
Epoch: [30/100], Step: [101/313], Validation Acc: 78.78
Epoch: [30/100], Step: [101/313], Train Acc: 99.97
Epoch: [30/100], Step: [201/313], Validation Acc: 78.96
Epoch: [30/100], Step: [201/313], Train Acc: 100.00
Epoch: [30/100], Step: [301/313], Validation Acc: 79.08
Epoch: [30/100], Step: [301/313], Train Acc: 100.00
Epoch: [31/100], Step: [101/313], Validation Acc: 79.0
Epoch: [31/100], Step: [101/313], Train Acc: 100.00
Epoch: [31/100], Step: [201/313], Validation Acc: 78.98
Epoch: [31/100], Step: [201/313], Train Acc: 100.00
Epoch: [31/100], Step: [301/313], Validation Acc: 79.04
Epoch: [31/100], Step: [301/313], Train Acc: 100.00
Epoch: [32/100], Step: [101/313], Validation Acc: 79.0
Epoch: [32/100], Step: [101/313], Train Acc: 100.00
Epoch: [32/100], Step: [201/313], Validation Acc: 78.98
Epoch: [32/100], Step: [201/313], Train Acc: 100.00
Epoch: [32/100], Step: [301/313], Validation Acc: 78.98
Epoch: [32/100], Step: [301/313], Train Acc: 100.00
Epoch: [33/100], Step: [101/313], Validation Acc: 78.94
Epoch: [33/100], Step: [101/313], Train Acc: 100.00
Epoch: [33/100], Step: [201/313], Validation Acc: 78.92
Epoch: [33/100], Step: [201/313], Train Acc: 100.00
Epoch: [33/100], Step: [301/313], Validation Acc: 79.02
Epoch: [33/100], Step: [301/313], Train Acc: 100.00
Epoch: [34/100], Step: [101/313], Validation Acc: 78.92
Epoch: [34/100], Step: [101/313], Train Acc: 100.00
Epoch: [34/100], Step: [201/313], Validation Acc: 79.02
Epoch: [34/100], Step: [201/313], Train Acc: 100.00
Epoch: [34/100], Step: [301/313], Validation Acc: 78.98
Epoch: [34/100], Step: [301/313], Train Acc: 100.00
Epoch: [35/100], Step: [101/313], Validation Acc: 78.94
Epoch: [35/100], Step: [101/313], Train Acc: 100.00
Epoch: [35/100], Step: [201/313], Validation Acc: 78.9
Epoch: [35/100], Step: [201/313], Train Acc: 100.00
Epoch: [35/100], Step: [301/313], Validation Acc: 78.96
Epoch: [35/100], Step: [301/313], Train Acc: 100.00
Epoch: [36/100], Step: [101/313], Validation Acc: 78.98
Epoch: [36/100], Step: [101/313], Train Acc: 100.00
Epoch: [36/100], Step: [201/313], Validation Acc: 78.98
Epoch: [36/100], Step: [201/313], Train Acc: 100.00
Epoch: [36/100], Step: [301/313], Validation Acc: 78.98
Epoch: [36/100], Step: [301/313], Train Acc: 100.00
Epoch: [37/100], Step: [101/313], Validation Acc: 78.98
Epoch: [37/100], Step: [101/313], Train Acc: 100.00
Epoch: [37/100], Step: [201/313], Validation Acc: 79.0
Epoch: [37/100], Step: [201/313], Train Acc: 100.00
Epoch: [37/100], Step: [301/313], Validation Acc: 78.94
Epoch: [37/100], Step: [301/313], Train Acc: 100.00
Epoch: [38/100], Step: [101/313], Validation Acc: 79.0
Epoch: [38/100], Step: [101/313], Train Acc: 100.00
