Epoch: [1/100], Step: [101/313], Validation Acc: 76.18
Epoch: [1/100], Step: [101/313], Train Acc: 67.44
Epoch: [1/100], Step: [201/313], Validation Acc: 84.54
Epoch: [1/100], Step: [201/313], Train Acc: 82.31
Epoch: [1/100], Step: [301/313], Validation Acc: 84.22
Epoch: [1/100], Step: [301/313], Train Acc: 84.20
Epoch: [2/100], Step: [101/313], Validation Acc: 86.7
Epoch: [2/100], Step: [101/313], Train Acc: 94.78
Epoch: [2/100], Step: [201/313], Validation Acc: 86.24
Epoch: [2/100], Step: [201/313], Train Acc: 96.39
Epoch: [2/100], Step: [301/313], Validation Acc: 85.88
Epoch: [2/100], Step: [301/313], Train Acc: 95.61
Epoch: [3/100], Step: [101/313], Validation Acc: 85.9
Epoch: [3/100], Step: [101/313], Train Acc: 99.07
Epoch: [3/100], Step: [201/313], Validation Acc: 85.72
Epoch: [3/100], Step: [201/313], Train Acc: 99.75
Epoch: [3/100], Step: [301/313], Validation Acc: 85.86
Epoch: [3/100], Step: [301/313], Train Acc: 99.83
Epoch: [4/100], Step: [101/313], Validation Acc: 85.84
Epoch: [4/100], Step: [101/313], Train Acc: 99.97
Epoch: [4/100], Step: [201/313], Validation Acc: 85.98
Epoch: [4/100], Step: [201/313], Train Acc: 100.00
Epoch: [4/100], Step: [301/313], Validation Acc: 86.04
Epoch: [4/100], Step: [301/313], Train Acc: 99.97
Epoch: [5/100], Step: [101/313], Validation Acc: 85.98
Epoch: [5/100], Step: [101/313], Train Acc: 100.00
Epoch: [5/100], Step: [201/313], Validation Acc: 86.18
Epoch: [5/100], Step: [201/313], Train Acc: 100.00
Epoch: [5/100], Step: [301/313], Validation Acc: 86.06
Epoch: [5/100], Step: [301/313], Train Acc: 100.00
Epoch: [6/100], Step: [101/313], Validation Acc: 85.94
Epoch: [6/100], Step: [101/313], Train Acc: 100.00
Epoch: [6/100], Step: [201/313], Validation Acc: 85.98
Epoch: [6/100], Step: [201/313], Train Acc: 100.00
Epoch: [6/100], Step: [301/313], Validation Acc: 85.94
Epoch: [6/100], Step: [301/313], Train Acc: 100.00
Epoch: [7/100], Step: [101/313], Validation Acc: 85.98
Epoch: [7/100], Step: [101/313], Train Acc: 100.00
Epoch: [7/100], Step: [201/313], Validation Acc: 86.02
Epoch: [7/100], Step: [201/313], Train Acc: 100.00
Epoch: [7/100], Step: [301/313], Validation Acc: 86.02
Epoch: [7/100], Step: [301/313], Train Acc: 100.00
Epoch: [8/100], Step: [101/313], Validation Acc: 86.02
Epoch: [8/100], Step: [101/313], Train Acc: 100.00
Epoch: [8/100], Step: [201/313], Validation Acc: 85.92
Epoch: [8/100], Step: [201/313], Train Acc: 100.00
Epoch: [8/100], Step: [301/313], Validation Acc: 85.92
Epoch: [8/100], Step: [301/313], Train Acc: 100.00
Epoch: [9/100], Step: [101/313], Validation Acc: 86.0
Epoch: [9/100], Step: [101/313], Train Acc: 100.00
Epoch: [9/100], Step: [201/313], Validation Acc: 85.9
Epoch: [9/100], Step: [201/313], Train Acc: 100.00
Epoch: [9/100], Step: [301/313], Validation Acc: 85.88
Epoch: [9/100], Step: [301/313], Train Acc: 100.00
Epoch: [10/100], Step: [101/313], Validation Acc: 85.9
Epoch: [10/100], Step: [101/313], Train Acc: 100.00
Epoch: [10/100], Step: [201/313], Validation Acc: 85.96
Epoch: [10/100], Step: [201/313], Train Acc: 100.00
Epoch: [10/100], Step: [301/313], Validation Acc: 85.98
Epoch: [10/100], Step: [301/313], Train Acc: 100.00
Epoch: [11/100], Step: [101/313], Validation Acc: 85.92
Epoch: [11/100], Step: [101/313], Train Acc: 100.00
Epoch: [11/100], Step: [201/313], Validation Acc: 86.0
Epoch: [11/100], Step: [201/313], Train Acc: 100.00
Epoch: [11/100], Step: [301/313], Validation Acc: 85.96
Epoch: [11/100], Step: [301/313], Train Acc: 100.00
Epoch: [12/100], Step: [101/313], Validation Acc: 85.9
Epoch: [12/100], Step: [101/313], Train Acc: 100.00
Epoch: [12/100], Step: [201/313], Validation Acc: 85.94
Epoch: [12/100], Step: [201/313], Train Acc: 100.00
Epoch: [12/100], Step: [301/313], Validation Acc: 85.98
Epoch: [12/100], Step: [301/313], Train Acc: 100.00
Epoch: [13/100], Step: [101/313], Validation Acc: 85.94
Epoch: [13/100], Step: [101/313], Train Acc: 100.00
Epoch: [13/100], Step: [201/313], Validation Acc: 85.8
Epoch: [13/100], Step: [201/313], Train Acc: 100.00
Epoch: [13/100], Step: [301/313], Validation Acc: 86.0
Epoch: [13/100], Step: [301/313], Train Acc: 100.00
Epoch: [14/100], Step: [101/313], Validation Acc: 85.94
Epoch: [14/100], Step: [101/313], Train Acc: 100.00
Epoch: [14/100], Step: [201/313], Validation Acc: 85.9
Epoch: [14/100], Step: [201/313], Train Acc: 100.00
Epoch: [14/100], Step: [301/313], Validation Acc: 85.98
Epoch: [14/100], Step: [301/313], Train Acc: 100.00
Epoch: [15/100], Step: [101/313], Validation Acc: 85.84
Epoch: [15/100], Step: [101/313], Train Acc: 100.00
Epoch: [15/100], Step: [201/313], Validation Acc: 85.94
